step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
69,1.150000,0,1,-9.976224,16.174088,0.000000,-3.459500,26.867615,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
70,1.166666,0,1,-10.003765,16.632042,0.000000,-2.253587,27.221149,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71,1.183333,0,1,-10.010014,17.087727,0.000000,-0.996934,27.103870,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
72,1.200000,0,1,-9.995547,17.561188,0.000000,0.243457,27.779613,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
73,1.216666,0,1,-9.957876,18.031836,0.000000,1.573427,28.024967,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
74,1.233333,0,1,-9.897655,18.505291,0.000000,2.924330,28.221659,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
75,1.250000,0,1,-9.813932,18.980478,0.000000,4.312645,28.356693,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
76,1.266666,0,1,-9.706297,19.455437,0.000000,5.729940,28.393774,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
77,1.283333,0,1,-9.574834,19.927183,0.000000,7.154006,28.279659,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
78,1.299999,0,1,-9.420381,20.391720,0.000000,8.546588,27.955940,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
79,1.316666,0,1,-9.244659,20.844580,0.000000,9.859531,27.384495,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
80,1.333333,0,1,-9.050049,21.281818,0.000000,11.050948,26.573059,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
81,1.349999,0,1,-8.839088,21.700804,0.000000,12.100796,25.576235,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
82,1.366666,0,1,-8.614064,22.100336,0.000000,13.013097,24.468988,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
83,1.383333,0,1,-8.376824,22.480244,0.000000,13.806192,23.317568,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
84,1.399999,0,1,-8.128821,22.840916,0.000000,14.501779,22.166689,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
85,1.416666,0,1,-7.871206,23.182964,0.000000,15.118670,21.040703,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
86,1.433333,0,1,-7.604942,23.507061,0.000000,15.670899,19.949797,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
87,1.449999,0,1,-7.330867,23.813831,0.000000,16.167957,18.895836,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
88,1.466666,0,1,-7.049759,24.103834,0.000000,16.615688,17.876490,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
89,1.483333,0,1,-6.758856,24.381033,0.000000,17.227560,17.096422,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
90,1.499999,0,1,-6.469528,24.635056,0.000000,17.373060,15.908614,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
91,1.516666,0,1,-6.171993,24.877434,0.000000,17.678663,14.979932,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
92,1.533333,0,1,-5.870369,25.104406,0.000000,17.943670,14.058919,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
